SoundName,Database_Name,Sex_Voice,Emotion_Label,Begin,End,Duration,PeakTime,Amp(dB),PeakAmp,MinF0,MaxF0,MeanF0,StDevF0,Jitter,Shimmer,MaxHNR,MeanHNR,StDevHNR
F_Gewinn_E_b_WasepSP_Norm,WASEPSemPosGewinn,female,disgust,0,0.8825,0.8825,0.534,61.5,76.1,101.6,284.9,198.9,45.62,0.001382646,1.07766606,13.1,5.83,3.69
F_Gewinn_F_c_WasepSP_Norm,WASEPSemPosGewinn,female,happy,0,0.7067,0.7067,0.252,61.1,76.1,196.9,377.1,319.6,52.74,0.000807063,0.848177895,37.47,9.47,4.32
F_Gewinn_T_WasepSP_Norm,WASEPSemPosGewinn,female,sad,0,0.6686,0.6686,0.108,66.8,73.1,97.7,165.3,121.3,16.42,0.004147168,1.235322124,30.28,9.77,3.32
F_Gewinn_W_b_WasepSP_Norm,WASEPSemPosGewinn,female,angry,0,0.9911,0.9911,0.521,50.2,78.3,121.8,289.7,208.7,67.31,0.001421622,1.643488017,8.51,4.06,2.31
F_Gewinn_s_WasepSP_Norm,WASEPSemPosGewinn,female,neutral,0,0.451,0.451,0.056,66.6,76.1,117.5,216.9,175.8,31.41,0.002474458,1.361188493,28.89,7.54,3.25
F_Musik_A_WasepSP_Norm,WASEPSemPosMusik,female,fear,0,0.8012,0.8012,0.063,60.9,75.6,316.8,410.6,344.4,26.81,0.000218604,0.590912082,40.01,10.87,7.51
F_Musik_E_WasepSP_Norm,WASEPSemPosMusik,female,disgust,0,1.626,1.626,1.492,64.3,76.8,160.7,248.6,204.6,26.19,0.000904803,0.969208504,37.28,3.67,3.34
F_Musik_F_WasepSP_Norm,WASEPSemPosMusik,female,happy,0,1.5848,1.5848,0.138,51.7,75.8,75.3,336.2,245.7,82.8,0.002653781,0.643048189,34.56,10.0,6.77
F_Musik_T_WasepSP_Norm,WASEPSemPosMusik,female,sad,0,1.399,1.399,0.326,62.3,78.8,111.7,190.1,154.6,19.48,0.002108229,0.679667905,37.93,11.65,6.62
F_Musik_W_WasepSP_Norm,WASEPSemPosMusik,female,angry,0,1.3409,1.3409,0.753,55.6,76.4,134.6,319.1,185.6,68.45,0.001570934,0.995063965,21.7,1.19,4.76
F_Musik_s_WasepSP_Norm,WASEPSemPosMusik,female,neutral,0,0.9628,0.9628,0.197,66.0,79.1,137.1,241.0,180.2,28.39,0.002467699,0.634063374,37.95,8.6,5.95
F_Mutter_A_c_WasepSP_Norm,WASEPSemPosMutter,female,fear,0,0.7372,0.7372,0.54,58.6,77.0,285.9,385.0,344.9,27.97,0.000399238,0.731374383,40.76,10.72,5.88
F_Mutter_E_WasepSP_Norm,WASEPSemPosMutter,female,disgust,0,1.2255,1.2255,0.766,54.1,76.9,92.1,477.7,261.2,101.03,0.002491156,1.268136216,22.76,2.59,6.3
F_Mutter_F_b_WasepSP_Norm,WASEPSemPosMutter,female,happy,0,0.8707,0.8707,0.24,57.0,76.3,148.1,383.7,296.6,84.9,0.001328478,0.735419048,32.93,8.84,6.79
F_Mutter_T_WasepSP_Norm,WASEPSemPosMutter,female,sad,0,0.843,0.843,0.241,62.2,76.3,127.7,166.3,139.1,6.31,0.00182039,0.895048502,24.88,10.22,8.79
F_Mutter_W_c_WasepSP_Norm,WASEPSemPosMutter,female,angry,0,0.833,0.833,0.581,56.2,76.8,133.8,309.7,188.0,52.78,0.005344465,2.286085672,28.03,1.02,2.55
F_Mutter_s_WasepSP_Norm,WASEPSemPosMutter,female,neutral,0,0.7864,0.7864,0.282,62.2,76.8,101.2,315.1,185.2,57.34,0.002105585,0.746402357,33.08,10.25,10.74
F_Natur_A_c_WasepSP_Norm,WASEPSemPosNatur,female,fear,0,1.3351,1.3351,0.577,59.2,75.3,282.1,363.4,322.6,23.19,0.000130675,0.438370315,41.06,16.85,11.03
F_Natur_E_WasepSP_Norm,WASEPSemPosNatur,female,disgust,0,1.5789,1.5789,0.677,57.7,76.5,76.4,432.8,249.8,114.56,0.001292137,1.188564665,38.94,2.38,5.37
F_Natur_F_WasepSP_Norm,WASEPSemPosNatur,female,happy,0,1.0739,1.0739,0.14,56.5,75.9,110.7,313.3,267.0,60.74,0.001637199,1.019995819,43.02,6.49,7.0
F_Natur_T_WasepSP_Norm,WASEPSemPosNatur,female,sad,0,0.9077,0.9077,0.167,60.7,76.1,118.6,176.8,152.6,14.62,0.00198474,0.691358988,35.56,12.0,8.14
F_Natur_W_WasepSP_Norm,WASEPSemPosNatur,female,angry,0,1.418,1.418,0.604,55.7,76.0,145.4,266.0,219.0,34.47,0.00169598,1.756644541,30.54,1.89,4.72
F_Natur_s_WasepSP_Norm,WASEPSemPosNatur,female,neutral,0,0.9414,0.9414,0.626,61.7,77.2,93.1,271.3,191.7,47.83,0.002051935,0.975077882,22.45,5.73,8.02
F_Sonne_A_WasepSP_Norm,WASEPSemPosSonne,female,fear,0,0.7024,0.7024,0.154,58.9,76.8,153.3,266.9,209.0,34.19,0.002582423,1.629306753,30.02,5.53,4.79
F_Sonne_E_WasepSP_Norm,WASEPSemPosSonne,female,disgust,0,1.1263,1.1263,0.452,57.6,76.7,187.4,494.1,234.3,76.17,0.001434385,1.493598276,27.87,1.27,3.83
F_Sonne_F_b_WasepSP_Norm,WASEPSemPosSonne,female,happy,0,0.9781,0.9781,0.331,56.8,76.1,130.5,253.3,206.1,38.12,0.003302765,1.136967955,33.2,6.83,5.66
F_Sonne_T_WasepSP_Norm,WASEPSemPosSonne,female,sad,0,1.4306,1.4306,0.447,54.7,74.7,89.4,122.0,105.1,11.63,0.003505033,1.199274645,28.03,5.78,4.69
F_Sonne_W_WasepSP_Norm,WASEPSemPosSonne,female,angry,0,1.1088,1.1088,0.503,54.2,77.5,77.4,211.0,150.0,46.81,0.008768162,1.537295441,26.28,0.4,1.8
F_Sonne_s_WasepSP_Norm,WASEPSemPosSonne,female,neutral,0,0.7,0.7,0.222,62.5,76.0,108.2,214.4,165.4,27.93,0.002202046,1.177203497,32.07,5.32,5.05
F_Vernunft_A_c_WasepSP_Norm,WASEPSemPosVernunft,female,fear,0,1.0246,1.0246,0.26,63.3,75.3,244.1,467.2,284.3,69.39,0.000399368,1.159528773,24.5,10.63,8.06
F_Vernunft_E_WasepSP_Norm,WASEPSemPosVernunft,female,disgust,0,2.0433,2.0433,0.973,54.3,75.9,82.9,595.8,199.0,118.02,0.001631021,1.368533297,25.0,3.29,5.47
F_Vernunft_F_b_WasepSP_Norm,WASEPSemPosVernunft,female,happy,0,1.4522,1.4522,0.201,55.3,76.0,151.6,347.6,278.2,49.3,0.000681187,0.664009141,36.45,10.5,7.2
F_Vernunft_T_WasepSP_Norm,WASEPSemPosVernunft,female,sad,0,1.5848,1.5848,0.398,59.5,74.8,86.0,598.6,155.7,132.87,0.00234868,1.59949381,33.87,10.12,5.7
F_Vernunft_W_WasepSP_Norm,WASEPSemPosVernunft,female,angry,0,1.4396,1.4396,0.399,54.3,77.2,254.2,463.5,321.0,57.19,0.000692818,0.889739396,35.31,7.4,5.53
F_Vernunft_s_WasepSP_Norm,WASEPSemPosVernunft,female,neutral,0,1.0278,1.0278,0.163,61.9,76.7,152.8,224.5,186.7,18.29,0.002133954,0.963112189,26.11,7.37,7.14
F_Wahrheit_A_b_WasepSP_Norm,WASEPSemPosWahrheit,female,fear,0,1.2132,1.2132,0.125,59.8,76.0,244.4,298.2,269.6,13.29,0.001227782,1.295448569,33.03,1.48,4.02
F_Wahrheit_E_WasepSP_Norm,WASEPSemPosWahrheit,female,disgust,0,1.771,1.771,0.231,60.0,78.1,127.1,565.9,221.9,111.92,0.002061232,1.263613244,27.66,1.21,3.7
F_Wahrheit_F_WasepSP_Norm,WASEPSemPosWahrheit,female,happy,0,1.2045,1.2045,0.199,54.9,76.7,100.6,269.1,185.4,57.49,0.002512006,1.422675244,49.02,6.67,6.98
F_Wahrheit_T_WasepSP_Norm,WASEPSemPosWahrheit,female,sad,0,1.4651,1.4651,0.17,58.4,76.0,87.2,134.0,108.8,11.45,0.005343079,1.397204298,44.25,5.39,4.7
F_Wahrheit_W_WasepSP_Norm,WASEPSemPosWahrheit,female,angry,0,1.4106,1.4106,0.099,60.6,76.8,129.4,325.9,241.3,63.85,0.00453736,1.281864949,29.63,0.75,3.57
F_Wahrheit_s_WasepSP_Norm,WASEPSemPosWahrheit,female,neutral,0,1.2712,1.2712,0.229,60.2,76.1,105.9,193.3,157.8,23.3,0.00332173,1.148030502,20.48,4.12,5.1
F_Wissen_A_c_WasepSP_Norm,WASEPSemPosWissen,female,fear,0,0.9346,0.9346,0.246,59.6,75.5,308.7,535.8,369.8,59.36,0.000303714,0.965507141,42.95,8.2,6.08
F_Wissen_E_WasepSP_Norm,WASEPSemPosWissen,female,disgust,0,1.3496,1.3496,0.441,58.8,78.6,160.4,567.7,324.7,144.89,0.001171464,1.291398306,25.03,0.99,1.87
F_Wissen_F_WasepSP_Norm,WASEPSemPosWissen,female,happy,0,1.0246,1.0246,0.175,52.7,76.3,256.4,352.1,318.8,27.33,0.000544744,0.810376791,19.71,6.26,6.79
F_Wissen_T_WasepSP_Norm,WASEPSemPosWissen,female,sad,0,1.0101,1.0101,0.211,58.9,79.1,84.1,164.8,126.9,17.57,0.009289542,1.827167425,34.15,5.25,5.49
F_Wissen_W_WasepSP_Norm,WASEPSemPosWissen,female,angry,0,0.991,0.991,0.241,52.8,76.3,86.3,251.3,136.0,37.44,0.006133927,1.159575242,34.53,2.74,4.18
F_Wissen_s_WasepSP_Norm,WASEPSemPosWissen,female,neutral,0,0.6667,0.6667,0.206,65.2,75.9,108.3,248.8,163.1,39.51,0.005249621,1.502558171,24.58,4.79,4.49
M_Bildung_A_b_WasepSP_Norm,WASEPSemPosBildung,male,fear,0,0.7285,0.7285,0.175,62.6,75.8,141.3,280.2,207.2,41.25,0.000907643,0.824623201,43.61,13.36,2.19
M_Bildung_E_c_WasepSP_Norm,WASEPSemPosBildung,male,disgust,0,1.4541,1.4541,0.376,59.2,75.3,75.3,414.4,111.6,78.67,0.004017557,1.292345175,42.53,10.31,5.27
M_Bildung_F_d_WasepSP_Norm,WASEPSemPosBildung,male,happy,0,0.7793,0.7793,0.208,60.9,75.8,76.3,190.0,138.9,38.53,0.003508496,0.703461019,16.17,4.24,5.04
M_Bildung_T_b_WasepSP_Norm,WASEPSemPosBildung,male,sad,0,1.1146,1.1146,0.144,62.5,75.8,75.6,95.2,89.0,4.98,0.002333597,0.400810392,32.91,7.21,9.03
M_Bildung_W_b_WasepSP_Norm,WASEPSemPosBildung,male,angry,0,0.6415,0.6415,0.101,64.8,76.2,112.3,279.4,230.5,43.36,0.001122496,0.822792917,27.81,5.32,4.52
M_Bildung_s_WasepSP_Norm,WASEPSemPosBildung,male,neutral,0,0.7822,0.7822,0.422,62.9,76.6,76.2,147.7,113.5,22.0,0.003699542,1.105238856,31.15,5.06,1.67
M_Freude_A_b_WasepSP_Norm,WASEPSemPosFreude,male,fear,0,0.9175,0.9175,0.76,68.2,74.8,124.6,583.4,248.7,123.81,0.001164474,1.124379204,44.34,12.82,3.78
M_Freude_E_b_WasepSP_Norm,WASEPSemPosFreude,male,disgust,0,1.7879,1.7879,1.008,56.2,75.8,75.7,206.8,132.6,45.04,0.002794245,0.562672216,32.24,6.36,6.14
M_Freude_F_WasepSP_Norm,WASEPSemPosFreude,male,happy,0,1.164,1.164,0.497,58.7,76.9,75.0,224.0,145.5,49.31,0.002413334,0.970782501,29.46,4.95,3.64
M_Freude_T_WasepSP_Norm,WASEPSemPosFreude,male,sad,0,0.8826,0.8826,0.308,60.0,74.3,81.4,84.0,82.9,1.08,0.0,0.0,25.62,-0.98,4.38
M_Freude_W_b_WasepSP_Norm,WASEPSemPosFreude,male,angry,0,1.1784,1.1784,0.552,66.3,78.7,103.0,164.7,139.8,16.63,0.003710562,1.186439408,14.71,4.28,4.95
M_Freude_s_WasepSP_Norm,WASEPSemPosFreude,male,neutral,0,0.6879,0.6879,0.387,59.1,75.9,78.0,133.9,112.6,15.65,0.005579312,0.993483069,29.11,3.98,3.04
M_Gewinn_A_WasepSP_Norm,WASEPSemPosGewinn,male,fear,0,0.4255,0.4255,0.21,68.4,74.8,143.5,204.2,184.5,18.66,0.002127858,0.973590892,21.65,14.33,5.72
M_Gewinn_E_WasepSP_Norm,WASEPSemPosGewinn,male,disgust,0,1.4222,1.4222,0.609,61.5,77.7,67.0,158.6,110.1,24.81,0.002393791,0.828315477,19.83,9.45,2.89
